기관,대분류 테마,중분류 테마,해당 문장 발췌,,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,공동 연구,"""ANL이랑 차세대 원자력 관련해서 하는 공동 연구가 하나,""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,공동 연구,"""그 다음에 정말 작은 규모로 체코, 중국 등과의 협력이 있습니다.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,공동 연구,"""실제로 저희도 작년에 IAEA에서 SMR(소형모듈원자로) 플랫폼 관련 사업이 생겨서, 꼭 전문가를 한 명 파견하고 싶었지만, 기관 예산이 많이 삭감된 상황이라 결국 과기부 예산에 얹어 서 가까스로 SMR 전문가 한 분을 보냈는데, 이게 2년 한시 예산이었거든요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,공동 연구,"""R&D 초기 단계, 즉 기초 시험이나 연구 같은 경우는 국제 협력을 굳이 많이 하지 않는 편이고, 예산 규모도 기껏해야 10억 단위로 그렇게 크지 않습니다.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,공동 연구,"""하지만 후반부, 실증이나 대형 협력으로 갈수록 예산과 협력 모두 점점 더 어려워지는 게 현실입니다.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,ODA (공적개발원조),"""개도국 같은 경우에는 그러면 인력 교류 활동들이 ODA 형태로 하시나요?""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,ODA (공적개발원조),"""저희는 개도국과의 공동연구나 ODA는 하지 않습니다. 거의 교육 훈련 사업이죠.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,ODA (공적개발원조),"""ODA도 43개 정도 기관이 하는데 다 따로따로 하고 있고, 코이카는 무상 원조를 담당하고 있고요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,국제기구/다자협의체 활동,"""그래서 저희가 이용을 하는 툴이 다자 외교 다자 협력 채널인데""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,국제기구/다자협의체 활동,"""사실 안국에 들어왔다는 거예요. 그래서 저희가 Nuclear Energy Agency (NEA)라고 프랑스 의 OECD 하에 있는 원자력 에너지 기구에서 활동도 굉장히 약해졌어요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,국제기구/다자협의체 활동,"""저희가 봤을 때는 그런 차원에서 약간 다자 쪽으로 많이 협력을 강화해야 되겠다라고 생각 을 하고 다자 쪽에서 원자력 역할을 할 수 있는 데가 많이 있거든요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,국제기구/다자협의체 활동,"""IEA 사무총장이 바로 월드뱅크에 날아 가서 IEA 사무총장이 자기네들이 그런 것들을 사업을 하고 싶다 라고 해서""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,국제기구/다자협의체 활동,"""제가 지금 또 국제기구 GIF (Generation IV International Forum, 제4세대 원자력시스템 국제포럼)에서 의장을 맡고 있는데""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,국제기구/다자협의체 활동,"""그 다음에는 IAEA(국제원자력기구)나 NEA(OECD 산하 원자력기구) 등과의 다자 협력이 있 습니다.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,국제기구/다자협의체 활동,"""그리고 방사선 분야의 국제 교육 활동은 대부분 IAEA(국제원자력기구)를 통해 진행하는데, 이런 활동들은 사실 우리나라 자체 예산이 아니라 IAEA 예산을 받아서 하는 방식입니다.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,인프라 활용 및 공유,"""연구원에 있는 대형 시설을 가지고 그러니까 생산해낸 데이터를 미국의 테라파워라는 기관 의 기술 이전 그러니까 실시권이에요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,인프라 활용 및 공유,"""그런 실험 데이터가 필요한데 테라파워는 산업체이기 때문에 그 시설을 짓고 실험 을 하고 이런 데이터를 시간을 쓰는 게 너무 아까우니까 한국이 해놓은 실험 데이터를 갖다""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,인프라 활용 및 공유,"""한국은 농축이나 재처리를 못하고, 일본은 기술적으로 할 수 있어도 후쿠시마 사고 이후 산업이 제대로 뒷받침이 안 되고 있는 실정이 에요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,인프라 활용 및 공유,"""그런데 한국 에는 이런 신규 원전을 직접 입증할 수 있는 실증 시설이 없어요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,인력 교류,"""결국은 인력 인력 협력 아니면 개도국과의 협력 이런 것들로 조금 더 제한이 되는 거 같아요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,인력 교류,"""개발 도상국들은 공동 연구는 거의 없고, 인력교류도 거의 저희가 그냥 가서 전수해주는 수준이고""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,인력 교류,"""거의 교육 훈련 사업이죠.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,인력 교류,"""개도국에서 IEA를 통해서 교육 훈련 사업을 자기네들이 받아서 저희한테 요청을 하 는 교육 훈련 사업 같은 것들이 조금 있어요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,인력 교류,"""그동안 사우디에서 우리 연구원에 와 있던 40여명의 사람들도 다 돌아갔죠.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,인력 교류,"""러시아와도 오픈 마인드로 잘 협력하던 것들이 있었는데, 전쟁 이후 모든 협력이 중단됐고, 사실 저희가 러시아 측에 줘야 할 돈도 지금 제재 때문에 지급하지 못하는 상황이에요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,인력 교류,"""인턴이나 학생 프로그램 등 원자력 관련은 현재 다 금지된 상 황이라 정책 변화가 정말 피부로 와닿습니다.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,MOU 및 기관 간 파트너십,"""올해 1월에 산업부랑 doe랑 MOU를 체결을 하면서 그 문제가 풀리면서 기술 수출 도 저희가 하기로 했고""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,MOU 및 기관 간 파트너십,"""저희가 설득을 해서 저희가 4월에 시카고 ani에 가서 협력 MOU 체결하고 이런 걸로 저희가 포장을 잘했고""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,MOU 및 기관 간 파트너십,"""저희가 4월에 MOU를 체결을 하면서 그게 약간 풀리게 되면서 저희가 4월 7월에 차세대 원자로 협력을 착수를 했거든요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,MOU 및 기관 간 파트너십,"""저희는 Idaho National Laboratory(INL, 아이다호 국립 연구소)'이랑 Argonne National Laboratory(알곤 국립연구소, ANL)하고 제일 많이하고,""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,MOU 및 기관 간 파트너십,"""캐나다 국립연구소 쪽에서 저희에게 '부지를 내줄 테니, 여 기 스마트 원전을 한 번 지어보라'고 제안했었어요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,기술이전 및 라이선싱,"""연구원에 있는 대형 시설을 가지고 그러니까 생산해낸 데이터를 미국의 테라파워라는 기관 의 기술 이전 그러니까 실시권이에요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,기술이전 및 라이선싱,"""잠깐 기간을 주는데 왜냐하면 기본적으로 인허가라는 걸 받아야 되기 때문에 원자로 같은 경우에는 그런 실험 데이터가 필요한데 테라파워는 산업체이기 때문에 그 시설을 짓고 실험 을 하고 이런 데이터를 시간을 쓰는 게 너무 아까우니까 한국이 해놓은 실험 데이터를 갖다""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,기술이전 및 라이선싱,"""그 문제가 풀리면서 기술 수출 도 저희가 하기로 했고""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,기술이전 및 라이선싱,"""이 기술을 팔아달라, 우리가 가져가서 써보고 싶다'는 러브콜이 계속 들어오고 있어요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,기술이전 및 라이선싱,"""원자력 분야는 기술 이전은 좀 어렵다는 얘기인데, 혹시 그 이유가 뭘까요?""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,기관 임무 기반 협력,"""저희는 국가 기관이잖아요. 국가 기관의 미션은 영리 기관이 아니고 비영리 사업을 해야 되는 거기 때문에 연구용 원자로를 수출한다는 것 자체가 영리 사업이거든요. 그래서 두 비즈니스를 할 수 없는 기관인 거죠.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,기관 임무 기반 협력,"""요르단은 저희가 연구로를 수출을 했기 때문에 후속으로 도와주는 사업들이 있고,""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,기관 임무 기반 협력,"""원자력 연구개발 기관은 저희 KAERI 뿐이고.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,기관 임무 기반 협력,"""방사선을 하는 사람들은 원자로 발전 전기 생산하는 데는 전혀 관심이 없어요""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,기관 임무 기반 협력,"""우주용 원자로를 요새 많이 하거든요. 동위원소를 활용해서 추진용 발사체에 넣고,""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,기관 임무 기반 협력,"""해체는 산업이거든요. 해체를 미국이랑 영국이랑 협력해서 하진 않아요. 그래서 국제 협력하기는 좀 어렵고""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,기관 임무 기반 협력,"""결국 우리나라에서는 한수원이 원자력 관련 해 거의 유일한 운영기관이다 보니까, ""원전 사업은 한수원 아래서 돌아가는 게 당연하다""는 인식이 굉장히 강해요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,정부 부처와의 관계,"""올해 1월에 산업부랑 doe랑 MOU를 체결을 하면서 그 문제가 풀리면서 기술 수출 도 저희가 하기로 했고""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,정부 부처와의 관계,"""근데 원자력은 거기 정치 외교적인 요소가 있어서 프레임을 만들어줘야 되는 것 같은데 너무 관심이 없죠.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,정부 부처와의 관계,"""솔직히 말씀을 드리면 우리나라 관료들이 너무 전문성이 떨어지고요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,정부 부처와의 관계,"""과기부 내에서도 우주 원자력을 원래 세트로 다루고 있었거든요. 근데 우주 원자력 세트로 봤을 때 과기부 협력 담당관이 계속 바뀌어요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,정부 부처와의 관계,"""저희는 한-미 협력이 가장 핵심이라고 할 수 있습니다.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,정부 부처와의 관계,"""이 기술을 개발한 건 과기부였고, 실제로 실증·건설하려면 산업부가 맡아야 했는데, 그때 산업부는 '이걸 왜 우리가 해야 하냐'는 식으로 적극적이지 않았어요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,정부 부처와의 관계,"""그래서 보시면 아시겠지만, 지금 그게 몇조원규 모의 소송까지 국내에서 벌어지고 있습니다.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,정부 부처와의 관계,"""그게 우리나라의 되게 큰 문제입니다. 아까도 말씀드렸지만, 스마트 원전을 사우디에 팔면 되는데도 산업부가 추진하지 않으려 했죠.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,정부 부처와의 관계,"""정말 근데 예민해서 한수원도 그렇고 과기부도 그렇고 이런 문제에 있어서는 절대 서로를 끼워주지 않아요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,정부 부처와의 관계,"""이틀 사이로 산업부랑 저희랑 같은 같은 기관을 같이 SMR을 하는 거예요. 그래서 알아 알아 알아 알아 알아 이러고 나서 와서 담당자한테 연락해서 우리 이러지 맙시다 같이 갑시다 같이 갔는데 아젠다가 서로 조율이 잘 안 되죠.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,내부 추진 체계,"""글로벌 전략이라는 부서가 있고 원래는 저희가 수출 사업까지 저희가 다 같이 가지고 있었는데 이번에 수출 사업을 별도 수출 사업단으로 분리를 했어요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,내부 추진 체계,"""국제 협력은 다자협력 및 개도국 대상으로 글로벌 전략 정책 연구실에서 담당.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,내부 추진 체계,"""올해 4월까지는 수출 전략실이 제일 아래에 있었는데 SMR과 연구로(연구용 원자로) 수출을 달성하면서 수출단을 아예 별도로 뺐죠.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,내부 추진 체계,"""인력 구조가 너무 경직되어 있어 가지고,""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,내부 추진 체계,"""기관 내에서 그러니까 사람, 인력 교류가 좀 어려운 분위기입니다.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,내부 추진 체계,"""국제 협력 분야 자체는 예산 규모가 크지 않아서 저희가 전체적으로 총괄해서 운영하고 있습니다.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,내부 추진 체계,"""저희 부서에 소속된 인력이 거의 20명 정도 됩니다. 앞서 말씀드린 대로, 워싱턴과 비 엔나 대사관에도 저희 부서 소속 인력이 파견돼 있어요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,내부 추진 체계,"""저희 부서는 구조가 좀 독특한데, 연구 인력으로 구성된 조직은 '실(室)'이라고 부르고, 행정 업무를 담당하는 조직은 '팀(Team)'이라고 불러요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,연구 분야의 특성,"""국제 협력을 할 수 있는 분야가 굉장히 많이 줄어들게 되더라고요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,연구 분야의 특성,"""국제 협력을 하는 데 있어 서 서로의 지재권 문제가 없냐 앞으로 산업화하는 데 있어서 문제가 없냐 원천 기술은 어디 냐가 항상 먼저 시작이에요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,연구 분야의 특성,"""계속 이런 식으로 원자력이라는 분야가 거대 공공에서 계속 민간 사업화 되는 거예요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,연구 분야의 특성,"""원자력이라는 거의 뿌리가 사실은 핵무기에서 뿌리가 있기 때문에 이 국제 협력을 함에 있어서 아이템이 너무 제한이 되고""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,연구 분야의 특성,"""웨스팅하우스(Westinghouse Electric Company)하고 한국이랑 IP 지재권 분쟁 때문에 미국 이 이 문제가 해결되기 전에는 한국이랑 협력하지 않겠다.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,연구 분야의 특성,"""선진 원자로도 말씀드렸듯이 점점 더 얘기가 민간들이 많이 하기 때문에 협력을 해서 하지는 않거든요. 경쟁하기 때문에 그것도 좀 약간 제한이 있고""",,,,,,,,,,,,,,,,,,,,,,
KAERI,3. 기관별 특성 및 협력 환경,연구 분야의 특성,"""민관 협력 모델로 가면 갈수록 IP(지식재산권) 이슈도 복잡해지고, 한국이 기술력이 올라가면서 이제는 기존 협력국 입장에선 우리도 경쟁국으로 여겨질 정도까지 온 거죠.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,4. 국제협력의 주요 애로사항 및 장애물,정책의 비일관성 및 불안정성,"""하지만 미국에서는 카운터 예산이 계속 불안정하니까 [박: 이건 굉장히 중요한 포인트]""",,,,,,,,,,,,,,,,,,,,,,
KAERI,4. 국제협력의 주요 애로사항 및 장애물,정책의 비일관성 및 불안정성,"""네 그러면 사실은 정책의 예측 가능성이 굉장히 제일 중요한데 예산도 그렇고 지금 너무 파고가 있으니까""",,,,,,,,,,,,,,,,,,,,,,
KAERI,4. 국제협력의 주요 애로사항 및 장애물,정책의 비일관성 및 불안정성,"""정부에서 그런 롱텀으로 어떤 사람들이 그런 걸 끌고 가는 사람들이 별로 없어요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,4. 국제협력의 주요 애로사항 및 장애물,정책의 비일관성 및 불안정성,"""지지난 정부 (문 정부) 지나서 더 심해진 것 같아요. 그러니까 예산을 끊는 걸 너무 쉽게 생각해요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,4. 국제협력의 주요 애로사항 및 장애물,정책의 비일관성 및 불안정성,"""상대 기관 입장에서는 못 미더워하는 파트너가 되는 것 같아요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,4. 국제협력의 주요 애로사항 및 장애물,정책의 비일관성 및 불안정성,"""2017년 정권이 바뀌면서 상황이 완전히 달라졌어요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,4. 국제협력의 주요 애로사항 및 장애물,정책의 비일관성 및 불안정성,"""그래서 작년에 저희가 다시 캐나다 쪽 인사들을 만나서 '이제 한번 진짜 사업을 해보자'고 제안했는데, 캐나다에서는 '왜 그때 얘기에는 답이 없더니, 이제 와서야 하자고 하느냐'는 식""",,,,,,,,,,,,,,,,,,,,,,
KAERI,4. 국제협력의 주요 애로사항 및 장애물,단기·성과 위주 정책,"""래서 아까 그 국제협력 예산 다 출연자들 거의 대부분일 것 같긴 한데 그 2023년이죠. 그러니까 6월 28일 재정 전략 회의 때 갑자기 됐잖아요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,4. 국제협력의 주요 애로사항 및 장애물,단기·성과 위주 정책,"""국제 협력 전략들이 좀 약간 디테일하게 나와야 되는데 그것도 고려하지 않고 일괄적으로 다 몇 프로씩 이상 국제 협력 올려라고 하니까 그런 게 좀 많이 특히 KAERI에서는 문제점으로 느껴졌던 거를 정리를 하면 되겠죠.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,4. 국제협력의 주요 애로사항 및 장애물,단기·성과 위주 정책,"""KAERI는 연구 기관이다 보니까 카운터 파트가 같이 발을 맞춰줘야 되는데 카운 터 파트가 그거에 맞춰줄 만한 속도가 안됐습니다.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,4. 국제협력의 주요 애로사항 및 장애물,단기·성과 위주 정책,"""예산 변경에 대한 대응은 정말 하루 이틀 사이에 빠르게 이뤄졌던 것 같아요.""",,,,,,,,,,,,,,,,,,,,,,
